date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:01	161416/161416	---M--	200	added ('OK')	image/jpeg	etag:%226409e40f-27688%22	https://html.merku.love/axial/img/projects/03.jpg	frontend/html.merku.love/axial/img/projects/03.jpg	(from https://html.merku.love/axial/index.html)
14:21:02	179133/179133	---M--	200	added ('OK')	image/jpeg	etag:%226409e40f-2bbbd%22	https://html.merku.love/axial/img/projects/04.jpg	frontend/html.merku.love/axial/img/projects/04.jpg	(from https://html.merku.love/axial/index.html)
14:21:02	1302498/1302498	---M--	200	added ('OK')	image/png	etag:%226409e40f-13dfe2%22	https://html.merku.love/axial/img/building.png	frontend/html.merku.love/axial/img/building.png	(from https://html.merku.love/axial/index.html)
14:21:03	1132886/1132886	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22640a6693-114956%22	https://html.merku.love/axial/svg/map.svg	frontend/html.merku.love/axial/svg/map.svg	(from https://html.merku.love/axial/index.html)
14:21:04	119927/119927	---M--	200	added ('OK')	image/jpeg	etag:%226409e40f-1d477%22	https://html.merku.love/axial/img/video/01.jpg	frontend/html.merku.love/axial/img/video/01.jpg	(from https://html.merku.love/axial/index.html)
14:21:07	33657/33657	---M--	200	added ('OK')	image/jpeg	etag:%22640a669f-8379%22	https://html.merku.love/axial/img/avatars/founder.jpg	frontend/html.merku.love/axial/img/avatars/founder.jpg	(from https://html.merku.love/axial/index.html)
14:21:08	119134/119134	---M--	200	added ('OK')	image/jpeg	etag:%22640a6695-1d15e%22	https://html.merku.love/axial/img/blog/01.jpg	frontend/html.merku.love/axial/img/blog/01.jpg	(from https://html.merku.love/axial/index.html)
14:21:09	124895/124895	---M--	200	added ('OK')	image/jpeg	etag:%22640a6697-1e7df%22	https://html.merku.love/axial/img/blog/02.jpg	frontend/html.merku.love/axial/img/blog/02.jpg	(from https://html.merku.love/axial/index.html)
14:21:09	127520/127520	---M--	200	added ('OK')	image/jpeg	etag:%22640a6698-1f220%22	https://html.merku.love/axial/img/blog/03.jpg	frontend/html.merku.love/axial/img/blog/03.jpg	(from https://html.merku.love/axial/index.html)
14:21:11	214637/214637	---M--	200	added ('OK')	image/jpeg	etag:%22640a66a7-3466d%22	https://html.merku.love/axial/img/gallery/10full.jpg	frontend/html.merku.love/axial/img/gallery/10full.jpg	(from https://html.merku.love/axial/index.html)
14:21:12	149719/149719	---M--	200	added ('OK')	image/jpeg	etag:%22640a66a6-248d7%22	https://html.merku.love/axial/img/gallery/10.jpg	frontend/html.merku.love/axial/img/gallery/10.jpg	(from https://html.merku.love/axial/index.html)
14:21:13	268132/268132	---M--	200	added ('OK')	image/jpeg	etag:%22640a66a7-41764%22	https://html.merku.love/axial/img/gallery/08full.jpg	frontend/html.merku.love/axial/img/gallery/08full.jpg	(from https://html.merku.love/axial/index.html)
14:21:19	168221/168221	---M--	200	added ('OK')	image/jpeg	etag:%22640a66a7-2911d%22	https://html.merku.love/axial/img/gallery/08.jpg	frontend/html.merku.love/axial/img/gallery/08.jpg	(from https://html.merku.love/axial/index.html)
